"year","code","product","country","type","value"
"2016-01","TOTAL","All products","загалом","1",39249626
"2016-01","TOTAL","All products","Азія","1",9281490
"2016-01","TOTAL","All products","Африка","1",553929
"2016-01","TOTAL","All products","ЄС","1",17141352
"2016-01","TOTAL","All products","Росія","1",5149313
"2016-01","TOTAL","All products","США","1",1692040
"2017-01","TOTAL","All products","загалом","1",49439156
"2017-01","TOTAL","All products","Азія","1",11332628
"2017-01","TOTAL","All products","Африка","1",718853
"2017-01","TOTAL","All products","ЄС","1",20255357
"2017-01","TOTAL","All products","Росія","1",7196562
"2017-01","TOTAL","All products","США","1",2475228
"2018-12","TOTAL","All products","загалом","1",57187093
"2018-12","TOTAL","All products","Азія","1",14447945
"2018-12","TOTAL","All products","Африка","1",757841
"2018-12","TOTAL","All products","ЄС","1",23218413
"2018-12","TOTAL","All products","Росія","1",8090391
"2018-12","TOTAL","All products","США","1",2968054
