"year","code","product","country","Exported","Imported"
2005,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,1272961
2005,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",180233,676707
2005,"TOTAL","All products","all",34227974,36121997
2005,"TOTAL","All products","ЄС",9206314,12209987
2005,"TOTAL","All products","Росія",7489792,12842463
2006,"02","Meat and edible meat offal","Росія",6142,NA
2006,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",139874,NA
2006,"10","Cereals","all",1354247,NA
2006,"10","Cereals","ЄС",203179,NA
2006,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",210190,NA
2006,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",971401,NA
2006,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",467579,NA
2006,"26","Ores, slag and ash","all",912326,NA
2006,"26","Ores, slag and ash","ЄС",586990,NA
2006,"26","Ores, slag and ash","Росія",NA,91190
2006,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",2553533,12711627
2006,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",1451978,629537
2006,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",97079,6939822
2006,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",1086643,NA
2006,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",394745,NA
2006,"29","Organic chemicals","Росія",NA,160140
2006,"30","Pharmaceutical products","all",NA,1384877
2006,"30","Pharmaceutical products","ЄС",NA,996043
2006,"31","Fertilisers","Росія",NA,152893
2006,"39","Plastics and articles thereof","all",NA,1988858
2006,"39","Plastics and articles thereof","ЄС",NA,1153697
2006,"39","Plastics and articles thereof","Росія",NA,205792
2006,"40","Rubber and articles thereof","Росія",NA,281527
2006,"44","Wood and articles of wood; wood charcoal","ЄС",385979,NA
2006,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,1014210
2006,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,694645
2006,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",368507,227904
2006,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",524842,NA
2006,"72","Iron and steel","all",13051226,NA
2006,"72","Iron and steel","ЄС",2653053,NA
2006,"72","Iron and steel","Росія",1479785,877758
2006,"73","Articles of iron or steel","all",2361608,NA
2006,"73","Articles of iron or steel","Росія",1105559,NA
2006,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",45289,NA
2006,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",2051504,5191399
2006,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",263743,2946088
2006,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",1136783,1122767
2006,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",1278980,2682029
2006,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",475618,1645048
2006,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",457204,287031
2006,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",1066959,NA
2006,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",744472,NA
2006,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,4898344
2006,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,2178676
2006,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",448784,962878
2006,"TOTAL","All products","all",38367609,45021621
2006,"TOTAL","All products","ЄС",10871448,16225966
2006,"TOTAL","All products","Росія",8650700,13787221
2007,"02","Meat and edible meat offal","Росія",95073,NA
2007,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",261334,NA
2007,"10","Cereals","all",763729,NA
2007,"10","Cereals","ЄС",62409,NA
2007,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",307427,NA
2007,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",1717956,NA
2007,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",808150,NA
2007,"26","Ores, slag and ash","all",1105017,NA
2007,"26","Ores, slag and ash","ЄС",738750,NA
2007,"26","Ores, slag and ash","Росія",NA,183095
2007,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",2630190,15922986
2007,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",1462389,985726
2007,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",165263,7881377
2007,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",1155770,NA
2007,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",491498,NA
2007,"29","Organic chemicals","Росія",NA,225878
2007,"30","Pharmaceutical products","all",NA,1931562
2007,"30","Pharmaceutical products","ЄС",NA,1388309
2007,"31","Fertilisers","Росія",NA,217626
